City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
152,Labuhan,ID,2021-11-22 17:17:01,-6.8844,112.2051,80.2,83,97,3.8
153,Nome,US,2021-11-22 17:17:01,64.5011,-165.4064,3.27,60,1,13.8
154,Hofn,IS,2021-11-22 17:17:01,64.2539,-15.2082,42.82,93,90,13.8
155,Kruisfontein,ZA,2021-11-22 17:17:02,-34.0033,24.7314,63.88,93,100,11.74
156,Half Moon Bay,US,2021-11-22 17:13:48,37.4636,-122.4286,63.77,66,1,0.0
157,Carnarvon,AU,2021-11-22 17:17:02,-24.8667,113.6333,66.27,72,0,20.71
158,Saldanha,ZA,2021-11-22 17:17:03,-33.0117,17.9442,65.12,77,1,26.19
159,Mahenge,TZ,2021-11-22 17:17:03,-8.6833,36.7167,73.44,36,87,2.24
160,Inta,RU,2021-11-22 17:17:03,66.0317,60.1659,2.41,96,99,6.26
161,Nuuk,GL,2021-11-22 17:17:04,64.1835,-51.7216,25.41,86,40,6.91
162,Date,JP,2021-11-22 17:17:04,42.4681,140.8681,41.5,63,100,27.96
163,Son La,VN,2021-11-22 17:17:04,21.3167,103.9,57.51,86,84,4.05
164,Petropavlovsk-Kamchatskiy,RU,2021-11-22 17:17:05,53.0452,158.6483,25.39,74,0,8.95
165,Punta Cardon,VE,2021-11-22 17:17:05,11.6581,-70.215,84.88,65,53,14.18
166,Te Anau,NZ,2021-11-22 17:17:05,-45.4167,167.7167,45.52,92,92,1.92
167,Maningrida,AU,2021-11-22 17:17:06,-12.0667,134.2667,81.43,70,45,3.11
168,Lompoc,US,2021-11-22 17:13:50,34.6391,-120.4579,76.08,53,1,6.91
169,Kropotkin,RU,2021-11-22 17:17:06,45.4375,40.5756,48.97,81,2,5.97
170,Barrow,US,2021-11-22 17:17:06,71.2906,-156.7887,-5.78,77,1,10.36
171,Northam,GB,2021-11-22 17:17:07,51.0333,-4.2167,46.02,77,1,11.9
172,Ostrovnoy,RU,2021-11-22 17:17:07,68.0531,39.5131,22.87,91,100,23.55
173,Huarmey,PE,2021-11-22 17:17:08,-10.0681,-78.1522,70.68,73,54,9.73
174,Chumikan,RU,2021-11-22 17:17:08,54.7183,135.315,18.45,76,100,23.89
175,Tommot,RU,2021-11-22 17:17:08,58.9564,126.2925,-13.43,97,98,2.68
176,Srandakan,ID,2021-11-22 17:17:09,-7.9386,110.2506,64.72,92,100,5.75
177,San Vicente,AR,2021-11-22 17:17:09,-26.6167,-54.1333,92.82,23,20,4.97
178,Kamenka,RU,2021-11-22 17:17:09,51.3223,42.7678,32.76,79,99,8.23
179,Acarau,BR,2021-11-22 17:17:09,-2.8856,-40.12,89.24,57,92,19.6
180,Kodiak,US,2021-11-22 17:17:10,57.79,-152.4072,22.51,63,90,9.22
181,Saint-Philippe,RE,2021-11-22 17:17:10,-21.3585,55.7679,76.59,75,47,7.58
182,Rio Gallegos,AR,2021-11-22 17:17:10,-51.6226,-69.2181,48.25,25,75,26.46
183,Mechanicsville,US,2021-11-22 17:13:07,37.6088,-77.3733,52.16,87,90,0.0
184,Vila Velha,BR,2021-11-22 17:18:11,-20.3297,-40.2925,75.15,74,75,8.01
185,Christchurch,NZ,2021-11-22 17:18:11,-43.5333,172.6333,54.91,86,75,1.14
186,Oshnaviyeh,IR,2021-11-22 17:18:12,37.0397,45.0983,35.85,75,11,6.15
187,Ronneby,SE,2021-11-22 17:13:39,56.21,15.276,30.7,86,0,4.61
188,Bacolod,PH,2021-11-22 17:15:38,10.6667,122.95,79.07,86,33,7.09
189,Belyy Yar,RU,2021-11-22 17:18:12,53.6039,91.3903,17.49,73,100,6.71
190,Cap Malheureux,MU,2021-11-22 17:18:12,-19.9842,57.6142,77.49,75,11,3.0
191,Severo-Kurilsk,RU,2021-11-22 17:18:13,50.6789,156.125,34.63,79,10,5.88
192,Hasaki,JP,2021-11-22 17:18:13,35.7333,140.8333,55.8,79,100,14.47
193,Shenjiamen,CN,2021-11-22 17:18:13,29.9576,122.298,46.56,52,96,17.47
194,Taoudenni,ML,2021-11-22 17:18:14,22.6783,-3.9836,88.2,23,100,7.52
195,Saskylakh,RU,2021-11-22 17:18:14,71.9167,114.0833,-24.7,99,41,7.09
196,Bar Harbor,US,2021-11-22 17:18:14,44.3876,-68.2039,51.66,89,90,10.0
197,Gondar,ET,2021-11-22 17:18:15,12.6,37.4667,60.62,55,69,4.76
198,Agirish,RU,2021-11-22 17:18:15,61.9247,63.0231,10.31,96,100,5.86
199,Davila,PH,2021-11-22 17:18:15,18.4726,120.5763,78.3,81,6,24.65
200,Sorong,ID,2021-11-22 17:18:15,-0.8833,131.25,79.32,85,100,5.1
201,Xuddur,SO,2021-11-22 17:18:16,4.1213,43.8894,82.04,37,100,9.62
202,Tura,IN,2021-11-22 17:18:16,25.5198,90.2201,63.01,78,1,2.37
203,Zhangjiakou,CN,2021-11-22 17:18:16,40.81,114.8794,18.99,54,0,5.75
204,Marsh Harbour,BS,2021-11-22 17:18:16,26.5412,-77.0636,79.68,72,20,9.98
205,Kununurra,AU,2021-11-22 17:18:17,-15.7667,128.7333,84.18,79,88,5.75
206,Moron,AR,2021-11-22 17:18:17,-34.6534,-58.6198,95.02,27,99,8.01
207,Finschhafen,PG,2021-11-22 17:18:17,-6.6024,147.8681,79.57,83,39,8.55
208,Svetlogorsk,BY,2021-11-22 17:18:18,52.6333,29.7333,30.25,74,96,4.63
209,Pingliang,CN,2021-11-22 17:18:18,35.5392,106.6861,30.34,38,0,2.08
210,Asau,RO,2021-11-22 17:18:18,46.4333,26.4,47.39,88,98,1.52
211,Isla Mujeres,MX,2021-11-22 17:18:19,21.2311,-86.731,84.25,68,1,13.78
212,Barcelos,PT,2021-11-22 17:18:19,41.5388,-8.6151,53.28,69,49,10.76
213,Nagua,DO,2021-11-22 17:15:08,19.3832,-69.8474,88.45,66,20,13.8
214,Lashio,MM,2021-11-22 17:18:20,22.9333,97.75,61.47,98,1,1.05
215,Yichun,CN,2021-11-22 17:18:20,47.7,128.9,9.64,94,100,11.18
216,San Andres,CO,2021-11-22 17:18:20,12.5847,-81.7006,86.02,70,75,11.5
217,Usinsk,RU,2021-11-22 17:18:20,65.9939,57.5281,-1.43,95,95,9.84
218,Sedhiou,SN,2021-11-22 17:18:21,12.7081,-15.5569,97.77,17,24,5.41
219,Grand Gaube,MU,2021-11-22 17:18:21,-20.0064,57.6608,77.4,75,10,3.0
220,Salinas,US,2021-11-22 17:18:21,36.6777,-121.6555,68.83,46,1,23.02
221,Morros,BR,2021-11-22 17:18:22,-9.4467,-46.3003,89.46,42,99,4.99
222,Castro,BR,2021-11-22 17:18:22,-24.7911,-50.0119,82.45,33,3,4.54
223,Hambantota,LK,2021-11-22 17:18:22,6.1241,81.1185,79.0,79,96,4.27
224,Port-Cartier,CA,2021-11-22 17:18:23,50.0334,-66.8654,41.76,98,100,9.22
225,Along,IN,2021-11-22 17:18:23,28.1667,94.7667,61.18,75,93,1.52
226,Harper,LR,2021-11-22 17:18:23,4.375,-7.7169,81.68,77,82,4.63
227,Peterhead,GB,2021-11-22 17:18:24,57.5058,-1.7981,48.6,83,100,19.66
228,Santa Helena De Goias,BR,2021-11-22 17:14:22,-17.8136,-50.5969,87.51,52,99,2.59
229,Ulaanbaatar,MN,2021-11-22 17:18:24,47.9077,106.8832,-11.07,77,0,0.0
230,Shiyan,CN,2021-11-22 17:19:24,32.6475,110.7781,41.77,46,99,1.14
231,Manjacaze,MZ,2021-11-22 17:19:25,-24.7117,33.8828,74.12,65,35,9.62
232,Tianpeng,CN,2021-11-22 17:19:25,30.9866,103.9393,46.87,64,100,4.81
233,Beeville,US,2021-11-22 17:19:25,28.4008,-97.7483,68.63,37,87,15.64
234,Sistranda,NO,2021-11-22 17:19:26,63.7256,8.834,42.91,62,100,27.69
235,Diffa,NE,2021-11-22 17:19:26,13.3154,12.6113,84.63,17,94,8.57
236,Shingu,JP,2021-11-22 17:19:27,33.7333,135.9833,51.91,73,100,10.63
237,Urumqi,CN,2021-11-22 17:19:27,43.801,87.6005,16.75,73,0,2.24
238,Bawku,GH,2021-11-22 17:19:27,11.0616,-0.2417,94.28,12,0,4.27
239,Itupiranga,BR,2021-11-22 17:19:27,-5.1347,-49.3267,93.52,51,93,3.24
240,Poum,NC,2021-11-22 17:19:28,-20.2333,164.0167,76.68,76,73,6.73
241,Kihei,US,2021-11-22 17:19:28,20.785,-156.4656,71.62,95,40,5.75
242,Bathsheba,BB,2021-11-22 17:19:28,13.2167,-59.5167,88.41,66,40,17.27
243,Lucapa,AO,2021-11-22 17:19:29,-8.4192,20.7447,68.4,93,100,1.83
244,Guerrero Negro,MX,2021-11-22 17:18:35,27.9769,-114.0611,72.99,40,100,3.98
245,Katsuura,JP,2021-11-22 17:19:29,35.1333,140.3,60.19,85,97,6.6
246,Porto Seguro,BR,2021-11-22 17:19:29,-16.4497,-39.0647,75.72,83,90,6.91
247,Lagoa,PT,2021-11-22 17:19:30,39.05,-27.9833,64.04,81,100,26.66
248,Aconibe,GQ,2021-11-22 17:19:30,1.2968,10.9369,70.95,92,100,0.96
249,Hualmay,PE,2021-11-22 17:19:30,-11.0964,-77.6139,70.03,73,74,9.6
250,Tarquinia,IT,2021-11-22 17:19:31,42.2482,11.7553,58.62,93,96,10.02
251,Grand Haven,US,2021-11-22 17:15:31,43.0631,-86.2284,35.82,58,75,1.01
252,Russkaya Polyana,UA,2021-11-22 17:19:31,49.417,31.9201,40.89,71,100,6.29
253,Provideniya,RU,2021-11-22 17:19:31,64.3833,-173.3,0.63,82,1,9.13
254,Bam,IR,2021-11-22 17:19:32,29.106,58.357,64.0,23,0,1.54
255,Kahului,US,2021-11-22 17:15:48,20.8947,-156.47,71.62,95,40,5.75
256,Ca Mau,VN,2021-11-22 17:14:40,9.1769,105.15,76.06,95,93,5.39
257,Inongo,CD,2021-11-22 17:19:32,-1.95,18.2667,74.98,77,98,3.09
258,Kulachi,PK,2021-11-22 17:19:32,31.9286,70.4592,65.89,18,0,2.17
259,Kharian,PK,2021-11-22 17:19:33,32.8149,73.8636,58.35,22,0,4.76
260,Rawson,AR,2021-11-22 17:19:33,-43.3002,-65.1023,56.14,56,14,28.5
261,Shirvan,AZ,2021-11-22 17:19:33,39.9509,48.8994,52.43,63,0,6.22
262,Kabansk,RU,2021-11-22 17:19:34,52.0486,106.6528,-10.71,84,68,4.99
263,Calama,CL,2021-11-22 17:19:34,-22.4667,-68.9333,75.69,7,20,21.85
264,Bilma,NE,2021-11-22 17:19:35,18.6853,12.9164,83.17,17,1,8.19
265,Coahuayana,MX,2021-11-22 17:19:35,18.7333,-103.6833,87.28,49,4,2.1
266,Zarubino,RU,2021-11-22 17:19:35,42.63,131.0922,25.18,55,33,28.88
267,Puerto Quijarro,BO,2021-11-22 17:19:36,-17.7833,-57.7667,91.85,51,100,3.4
268,Broken Hill,AU,2021-11-22 17:16:07,-31.95,141.4333,71.58,56,100,14.85
269,Husavik,IS,2021-11-22 17:19:36,66.0449,-17.3389,48.11,87,100,15.32
270,Fukue,JP,2021-11-22 17:19:36,32.6881,128.8419,51.55,66,99,22.28
271,Isangel,VU,2021-11-22 17:19:37,-19.55,169.2667,77.36,84,21,3.87
