City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1830,Mocorito,MX,77.68,overcast clouds,25.4833,-107.9167,Casa de Don Eustaquio
1831,Senanga,ZM,78.91,broken clouds,-16.1167,23.2667,Zango lodge
1832,Boca Do Acre,BR,88.72,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
1833,Denpasar,ID,80.26,scattered clouds,-8.65,115.2167,ASTON Denpasar Hotel & Convention Center
1837,Barinas,VE,85.69,scattered clouds,8.6226,-70.2075,Hotel Mastranto Suite
1842,Lopez Jaena,PH,79.12,overcast clouds,10.8492,123.4278,Niel coronico
1843,Hwange,ZW,81.09,clear sky,-18.3693,26.5019,Hwange Colliery Guest House
1846,Carmo Do Rio Claro,BR,82.45,scattered clouds,-20.9719,-46.1189,Varandas da Montanha Hotel
1850,Wajir,KE,75.16,clear sky,1.7471,40.0573,Al-bustan Hotel And Restaurant.
1858,Carupano,VE,84.4,broken clouds,10.6678,-63.2585,Hotel La dorada
1859,Cabo Rojo,PR,84.63,scattered clouds,18.0866,-67.1457,Hotel Perichi's
1861,Jacmel,HT,85.84,overcast clouds,18.2342,-72.5347,Historic Hotel Florita
1868,Agnibilekrou,CI,84.34,overcast clouds,7.1344,-3.2047,"J'AIME ATTOBRO, (Mon Village)"
1873,Palora,EC,84.18,scattered clouds,-1.7,-77.9333,Rancho grande
1880,Manokwari,ID,78.93,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
1885,La Orilla,MX,83.82,scattered clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
1898,Jizan,SA,85.14,clear sky,17.3333,42.6667,شهدان. ابوالحجر
1901,San Fernando,PH,80.62,scattered clouds,15.0286,120.6898,Maharlika Hostel
1902,Sunyani,GH,83.17,overcast clouds,7.3399,-2.3268,Nass Lodge
1903,Canavieiras,BR,82.36,broken clouds,-15.675,-38.9472,Bahiadomizil
1905,Sao Miguel Do Araguaia,BR,87.71,broken clouds,-13.275,-50.1628,Hotel Executivo Palace
1911,Agustin Codazzi,CO,86.9,overcast clouds,10.0341,-73.2361,Hotel perija
1916,Mazagao,BR,87.85,few clouds,-0.115,-51.2894,Recanto dos Ferreiras
1919,Pointe Michel,DM,86.94,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
1926,Afua,BR,85.51,few clouds,-0.1567,-50.3867,Hotel Dias
1928,Metro,ID,75.33,heavy intensity rain,-5.1131,105.3067,OYO 3177 Wisma Lintang
1931,Safaga,EG,75.15,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
1933,Chake Chake,TZ,80.17,overcast clouds,-5.2459,39.7666,Hotel Archipelago
1935,Miracema Do Tocantins,BR,87.08,scattered clouds,-9.5618,-48.3967,Miami Apart Hotel
1941,Katobu,ID,75.96,overcast clouds,-4.9408,122.5276,La Ode Husein
1942,Tiarei,PF,78.82,scattered clouds,-17.5333,-149.3333,Le Rocher de Tahiti
1944,Ngaoundere,CM,75.27,overcast clouds,7.3167,13.5833,Hotel Mentong Palace
1946,Monte Azul,BR,84.02,light rain,-15.155,-42.8747,Hotel Delfino
1947,Tsiroanomandidy,MG,76.64,overcast clouds,-18.7667,46.0333,Hotel du Bongolave
1948,Kismayo,SO,80.28,light rain,-0.3582,42.5454,Agan-Hotel
1951,Singkang,MY,78.69,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
1953,Jibuti,DJ,76.73,clear sky,11.5,42.5,Orchid Main Camp Goubet
1958,Coari,BR,88.05,overcast clouds,-4.085,-63.1414,HOTEL ALEX FLAT
1965,Domoni,KM,79.5,light rain,-12.2569,44.5319,Al Djadid
1966,Riohacha,CO,84.61,overcast clouds,11.5444,-72.9072,Hotel Taroa
1977,Itarema,BR,88.56,scattered clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
1979,Barra Velha,BR,84.09,scattered clouds,-26.6322,-48.6847,Vila Alaide Praia Hotel
1983,Nieuw Amsterdam,SR,87.96,scattered clouds,5.8833,-55.0833,Hotel Stardust
1986,Villa Carlos Paz,AR,81.68,broken clouds,-31.4241,-64.4978,Monte Carlo
1987,Bitung,ID,76.05,light rain,1.4451,125.1824,K2 Lembeh
1988,Qui Nhon,VN,76.66,overcast clouds,13.7667,109.2333,Hoang Yen Canary Hotel
1999,Black River,JM,84.2,overcast clouds,18.0264,-77.8487,Idlers' Rest Beach Hotel
2003,Hurghada,EG,75.24,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
2009,Cagsiay,PH,79.25,broken clouds,14.2167,121.75,"Sitio Maligaya, Barangay Cagsiay I"
2013,Itupiranga,BR,84.52,broken clouds,-5.1347,-49.3267,Hotel Panorama
2014,Ranot,TH,78.66,overcast clouds,7.7777,100.3213,Pakbanglake resort ปากบางเลค รีสอร์ท
2016,Pirai Do Sul,BR,81.61,clear sky,-24.5261,-49.9486,Victor Hotel
2021,Tibati,CM,80.76,scattered clouds,6.4667,12.6333,Tibati Hotel
