City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Guerrero Negro,MX,27.9769,-114.0611,66.78,53,0,7.99,clear sky
131,Waingapu,ID,-9.6567,120.2641,81.03,84,100,2.53,overcast clouds
132,Egvekinot,RU,66.3167,-179.1667,-15.99,87,2,6.71,clear sky
133,Thompson,CA,55.7435,-97.8558,24.22,94,100,9.55,light snow
134,Saint George,US,37.1041,-113.5841,43.27,35,1,0.0,clear sky
135,Bengkulu,ID,-3.8004,102.2655,76.59,88,100,3.09,overcast clouds
136,Aykhal,RU,66.0,111.5,-4.67,95,93,18.77,overcast clouds
137,Tateyama,JP,34.9833,139.8667,49.93,46,20,17.27,few clouds
138,Mecca,SA,21.4267,39.8261,81.39,58,0,7.31,clear sky
139,Bardiyah,LY,31.7561,25.0865,72.81,40,44,6.02,scattered clouds
140,Bat Khela,PK,34.6167,71.9714,57.76,35,3,4.88,clear sky
141,Upernavik,GL,72.7868,-56.1549,13.53,90,100,3.11,overcast clouds
142,Bonavista,CA,48.6499,-53.1147,45.68,88,100,17.13,overcast clouds
143,Thessalon,CA,46.2501,-83.5666,23.29,65,89,4.56,overcast clouds
144,Albert Lea,US,43.648,-93.3683,48.09,65,1,10.36,clear sky
145,Namibe,AO,-15.1961,12.1522,72.43,63,14,13.94,few clouds
146,Margate,GB,51.3813,1.3862,42.51,75,100,32.03,light rain
147,Awjilah,LY,29.1081,21.2869,75.63,32,41,4.5,scattered clouds
148,Naumburg,DE,51.15,11.8167,39.88,93,89,5.97,overcast clouds
149,Bethel,US,41.3712,-73.414,39.29,45,75,16.11,broken clouds
150,Overijse,BE,50.7751,4.5372,39.34,78,75,4.61,broken clouds
151,Batemans Bay,AU,-35.7167,150.1833,54.27,87,93,9.42,overcast clouds
152,Mar Del Plata,AR,-38.0023,-57.5575,66.24,69,76,13.31,broken clouds
153,Tooele,US,40.5308,-112.2983,32.07,80,1,0.0,clear sky
154,Karaton,ID,-6.3424,106.1045,73.56,85,100,8.08,moderate rain
155,Anadyr,RU,64.75,177.4833,-13.52,86,100,3.38,overcast clouds
156,Brightwater,NZ,-41.3833,173.1167,55.58,96,100,2.17,light rain
